ID zariadenia;Zákazník;Segment;Kraj;Typ zariadenia;Výrobca;Typové označenie;Dátum inštalácie;Záruka do;Prevádzkové hodiny;Menovitý tlak (bar);Prietok (l/min);Príkon (kW);Dátum posledného servisu;Typ posledného zásahu;Teplota oleja (°C);Čistota oleja (ISO 4406);Havarijné zásahy za 24 mes.;Náklady na diely za 24 mes. (EUR);Stav zariadenia
HYT-2212;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Hydraulický zdvíhací stôl;AXIOMA;AX-PC-70B;26.05.2024;26.05.2027;3309;315;120;7.9;01.06.2025;Havarijná oprava;77;16/14/11;1;1080,86;V prevádzke
HYT-2213;Teplárne Stred a.s.;Energetika;Banskobystrický;Čerpadlová jednotka;HYDROMET;HY-PP-49A;19.10.2015;18.10.2017;27835;160;53;50.7;01.08.2025;Havarijná oprava;58;20/18/15;1;1155,16;Obmedzená prevádzka
HYT-2214;Papierne Sever a.s.;Ostatné;Žilinský;Rozvod stlačeného vzduchu;FLUIDMAX;FL-PP-56E;14.11.2015;13.11.2017;16235;8;261;10.1;15.09.2026;Havarijná oprava;;nemerané;2;1297,82;V prevádzke
HYT-2215;Metalform Považie a.s.;Strojárstvo;Trenčiansky;Hydraulický agregát píly;FLUIDMAX;FL-GP-16E;18.06.2024;18.06.2027;2235;160;80;33.7;13.05.2025;Uvedenie do prevádzky;61;17/15/12;0;132,92;V prevádzke
HYT-2216;Papierne Sever a.s.;Ostatné;Žilinský;Generátor dusíka;FLUIDMAX;FL-PP-36B;28.03.2021;28.03.2023;13243;10;12;32.0;21.11.2024;Uvedenie do prevádzky;;nemerané;1;1920,82;V prevádzke
HYT-2217;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Chladič kvapalín;FLUIDMAX;FL-CH-14C;20.06.2019;19.06.2021;14376;16;156;15.4;16.04.2025;Výmena filtračnej vložky;69;18/16/13;0;0,00;V prevádzke
HYT-2218;Seating Systems a.s.;Automotive;Bratislavský;Pneumatický ovládací panel;FLUIDMAX;FL-PP-21B;25.04.2020;25.04.2022;13135;7;819;2.2;19.12.2024;Preventívna prehliadka;;18/16/13;0;1352,24;V prevádzke
HYT-2219;Teplárne Stred a.s.;Energetika;Banskobystrický;Pneumatický ovládací panel;iné / neznámy;IN-PP-21C;18.08.2024;18.08.2027;4721;8;227;4.0;15.06.2025;Havarijná oprava;;nemerané;1;1639,61;V prevádzke
HYT-2220;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Hydraulický zdvíhací stôl;FLUIDMAX;FL-NG-48E;05.07.2018;04.07.2021;9452;280;91;12.4;24.03.2025;Preventívna prehliadka;43;19/17/14;0;547,36;V prevádzke
HYT-2221;Vodohospodár Západ a.s.;Energetika;Bratislavský;Chladič kvapalín;iné / neznámy;IN-PC-65C;31.12.2022;30.12.2026;5429;16;382;36.5;26.11.2025;Výmena filtračnej vložky;54;18/16/13;0;575,35;V prevádzke
HYT-2222;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Chladiaci okruh oleja;HYDROMET;HY-NG-54A;07.05.2020;07.05.2023;12820;10;247;23.6;25.03.2026;Výmena filtračnej vložky;63;18/16/13;0;0,00;Obmedzená prevádzka
HYT-2223;Hydinárne Východ a.s.;Potravinárstvo;Prešovský;Hydraulický agregát píly;AXIOMA;AX-FL-39C;25.07.2015;24.07.2018;19030;210;145;36.7;26.04.2026;Preventívna prehliadka;48;nemerané;0;342,04;V prevádzke
HYT-2224;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Chladič kvapalín;FLUIDMAX;FL-PC-55C;31.05.2022;30.05.2024;7613;6;399;32.9;11.11.2025;Preventívna prehliadka;51;20/18/15;0;1020,53;V prevádzke
HYT-2225;Papierne Sever a.s.;Ostatné;Žilinský;Hydraulický zdvíhací stôl;PNEUTECH;PN-PC-55D;29.03.2022;28.03.2024;5048;280;152;51.4;10.09.2025;Výmena filtračnej vložky;73;19/17/14;0;201,96;V prevádzke
HYT-2226;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Pneumatický ovládací panel;FLUIDMAX;FL-CH-23D;22.03.2016;21.03.2020;21016;10;245;2.9;25.07.2026;Lisovanie hadíc na mieste;;nemerané;2;1016,64;V prevádzke
HYT-2227;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Rozvod stlačeného vzduchu;AXIOMA;AX-FL-21F;23.10.2019;22.10.2022;14471;10;874;18.4;31.03.2025;Havarijná oprava;;nemerané;0;23,33;V prevádzke
HYT-2228;Recykling SK s.r.o.;Ostatné;Košický;Hydraulický agregát píly;AXIOMA;AX-CH-92F;09.10.2024;09.10.2026;3344;315;77;10.5;02.06.2025;Preventívna prehliadka;59;16/14/11;0;464,16;V prevádzke
HYT-2229;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Rozvod stlačeného vzduchu;FLUIDMAX;FL-GP-41B;15.01.2025;15.01.2028;2785;7;708;18.7;15.04.2026;Preventívna prehliadka;;nemerané;1;1444,41;V prevádzke
HYT-2230;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Pneumatický ovládací panel;FLUIDMAX;FL-FL-72B;07.02.2016;06.02.2019;9865;8;232;10.6;01.11.2025;Výmena filtračnej vložky;;nemerané;0;298,10;V prevádzke
HYT-2231;Seating Systems a.s.;Automotive;Bratislavský;Hydraulický agregát píly;FLUIDMAX;FL-FL-13C;29.04.2017;29.04.2019;9702;250;28;24.0;15.09.2025;Preventívna prehliadka;70;20/18/15;1;422,06;V prevádzke
HYT-2232;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Rozvod stlačeného vzduchu;HYDROMET;HY-PP-54A;24.07.2020;24.07.2022;11171;6;605;7.8;10.07.2025;Výmena filtračnej vložky;;nemerané;1;1291,91;V prevádzke
HYT-2233;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Generátor dusíka;FLUIDMAX;FL-NG-32E;14.09.2015;13.09.2018;18258;8;12;31.1;28.07.2025;Havarijná oprava;;nemerané;2;2554,97;V prevádzke
HYT-2234;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Hydraulický agregát lisu;FLUIDMAX;FL-GP-68G;17.05.2022;16.05.2026;4411;280;130;53.7;21.04.2026;Preventívna prehliadka;44;nemerané;1;408,18;Na vyradenie
HYT-2235;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Pneumatický ovládací panel;FLUIDMAX;FL-PP-34F;07.03.2019;06.03.2021;7075;7;1177;11.2;15.07.2025;Výmena filtračnej vložky;;nemerané;1;1015,88;V prevádzke
HYT-2236;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Hydraulický agregát píly;AXIOMA;AX-PP-10D;15.01.2025;15.01.2028;2124;250;124;39.6;16.12.2024;Výmena filtračnej vložky;62;nemerané;1;806,57;V prevádzke
HYT-2237;Recykling SK s.r.o.;Ostatné;Košický;Generátor dusíka;FLUIDMAX;FL-CH-31F;05.08.2025;04.08.2029;1291;8;25;21.3;14.09.2025;Preventívna prehliadka;;nemerané;0;1030,54;V prevádzke
HYT-2238;Seating Systems a.s.;Automotive;Bratislavský;Hydraulický agregát píly;HYDROMET;HY-CH-33G;07.11.2024;07.11.2027;3595;315;94;70.8;02.07.2025;Havarijná oprava;63;18/16/13;0;703,09;V prevádzke
HYT-2239;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Generátor dusíka;AXIOMA;AX-PP-56C;15.09.2016;15.09.2018;17514;10;12;28.7;01.02.2026;Výmena filtračnej vložky;;nemerané;1;1951,07;V prevádzke
HYT-2240;Papierne Sever a.s.;Ostatné;Žilinský;Hydraulický agregát píly;FLUIDMAX;FL-NG-66D;25.09.2017;25.09.2019;22092;315;91;32.9;12.01.2025;Výmena filtračnej vložky;39;19/17/14;0;751,40;V prevádzke
HYT-2241;Recykling SK s.r.o.;Ostatné;Košický;Pneumatický ovládací panel;PNEUTECH;PN-PC-58A;27.09.2014;26.09.2017;13924;10;546;2.3;25.12.2025;Havarijná oprava;;nemerané;3;2417,57;V prevádzke
HYT-2242;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Chladiaci okruh oleja;PNEUTECH;PN-NG-71A;18.05.2018;17.05.2021;19447;6;134;3.3;12.05.2026;Preventívna prehliadka;72;nemerané;1;1690,74;V prevádzke
HYT-2243;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Filtračná stanica;iné / neznámy;IN-PC-84B;22.04.2020;22.04.2022;16633;25;324;4.6;16.01.2025;Havarijná oprava;54;19/17/14;2;2240,22;Obmedzená prevádzka
HYT-2244;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Chladiaci okruh oleja;HYDROMET;HY-NG-89A;14.10.2014;13.10.2017;30039;10;294;21.1;14.12.2025;Havarijná oprava;79;20/18/15;3;2274,35;Na vyradenie
HYT-2245;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Generátor dusíka;AXIOMA;AX-CH-18E;12.12.2018;11.12.2021;11527;8;25;17.1;18.10.2025;Preventívna prehliadka;;18/16/13;1;1710,77;V prevádzke
HYT-2246;Papierne Sever a.s.;Ostatné;Žilinský;Chladiaci okruh oleja;AXIOMA;AX-FL-46F;01.06.2025;01.06.2027;1752;16;180;10.7;18.08.2025;Havarijná oprava;88;16/14/11;2;1862,17;Odstavené
HYT-2247;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Rozvod stlačeného vzduchu;FLUIDMAX;FL-PC-42D;02.12.2025;01.12.2028;1648;6;1482;13.3;06.04.2025;Preventívna prehliadka;;nemerané;1;1537,16;V prevádzke
HYT-2248;Recykling SK s.r.o.;Ostatné;Košický;Chladič kvapalín;FLUIDMAX;FL-AT-36C;03.08.2019;02.08.2021;15875;16;254;22.1;04.11.2024;Lisovanie hadíc na mieste;56;20/18/15;1;521,81;V prevádzke
HYT-2249;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Hydraulický agregát píly;PNEUTECH;PN-GP-69F;08.11.2023;07.11.2025;6172;315;174;26.6;15.09.2025;Výmena filtračnej vložky;67;18/16/13;1;1271,31;V prevádzke
HYT-2250;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Filtračná stanica;PNEUTECH;PN-CH-85B;01.06.2025;01.06.2027;2124;25;213;2.7;08.02.2025;Havarijná oprava;58;17/15/12;0;25,75;Na vyradenie
HYT-2251;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Chladiaci okruh oleja;FLUIDMAX;FL-GP-37F;31.10.2021;31.10.2023;11977;6;150;21.3;20.01.2025;Havarijná oprava;66;20/18/15;0;416,36;V prevádzke
HYT-2252;Hydinárne Východ a.s.;Potravinárstvo;Prešovský;Čerpadlová jednotka;FLUIDMAX;FL-FL-89G;04.05.2025;03.05.2028;2116;280;90;25.7;18.08.2025;Diagnostika a meranie;75;18/16/13;1;972,30;V prevádzke
HYT-2253;Mobis Parts SK s.r.o.;Automotive;Žilinský;Pneumatický ovládací panel;PNEUTECH;PN-PC-40G;26.05.2016;26.05.2019;18941;7;748;15.7;29.05.2026;Preventívna prehliadka;;nemerané;0;334,16;V prevádzke
HYT-2254;Bukoza Plus a.s.;Drevospracujúci;Košický;Hydraulický agregát píly;FLUIDMAX;FL-PP-53B;22.05.2025;21.05.2028;2771;210;87;52.3;15.11.2025;Preventívna prehliadka;57;16/14/11;1;1270,96;V prevádzke
HYT-2255;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Chladiaci okruh oleja;AXIOMA;AX-GP-22E;27.09.2015;26.09.2019;15206;10;215;16.4;09.08.2025;Výmena filtračnej vložky;79;20/18/15;1;1227,14;V prevádzke
HYT-2256;Papierne Sever a.s.;Ostatné;Žilinský;Filtračná stanica;FLUIDMAX;FL-PC-92A;21.10.2014;20.10.2017;12186;10;337;3.8;16.09.2025;Preventívna prehliadka;50;18/16/13;0;460,49;Na vyradenie
HYT-2257;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Generátor dusíka;AXIOMA;AX-FL-53G;16.12.2020;15.12.2024;11296;8;25;6.6;15.01.2026;Preventívna prehliadka;;nemerané;0;1126,63;V prevádzke
HYT-2258;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Čerpadlová jednotka;AXIOMA;AX-CH-55C;14.04.2018;13.04.2021;18923;160;72;64.6;16.07.2025;Výmena filtračnej vložky;62;21/19/16;2;1393,88;V prevádzke
HYT-2259;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Generátor dusíka;AXIOMA;AX-GP-24C;05.08.2017;04.08.2020;18419;8;12;15.5;27.04.2026;Preventívna prehliadka;;nemerané;0;994,81;V prevádzke
HYT-2260;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Generátor dusíka;HYDROMET;HY-AT-24D;19.06.2018;18.06.2020;8859;8;25;33.7;24.06.2026;Preventívna prehliadka;;nemerané;1;1908,56;V prevádzke
HYT-2261;Bukoza Plus a.s.;Drevospracujúci;Košický;Generátor dusíka;AXIOMA;AX-CH-17A;28.11.2023;27.11.2025;5158;12;25;35.9;26.07.2025;Uvedenie do prevádzky;;nemerané;0;1978,23;V prevádzke
HYT-2262;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Rozvod stlačeného vzduchu;AXIOMA;AX-CH-50C;17.10.2020;17.10.2023;8154;8;207;4.5;03.11.2025;Preventívna prehliadka;;nemerané;0;852,23;V prevádzke
HYT-2263;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Rozvod stlačeného vzduchu;HYDROMET;HY-AT-37B;10.05.2021;10.05.2023;8124;7;861;19.5;04.01.2026;Preventívna prehliadka;;nemerané;1;893,78;V prevádzke
HYT-2264;Hydinárne Východ a.s.;Potravinárstvo;Prešovský;Rozvod stlačeného vzduchu;AXIOMA;AX-PP-93C;04.12.2024;04.12.2027;3760;6;1424;2.0;24.02.2026;Diagnostika a meranie;;nemerané;0;594,39;V prevádzke
HYT-2265;Hydinárne Východ a.s.;Potravinárstvo;Prešovský;Pneumatický ovládací panel;AXIOMA;AX-CH-27E;09.10.2017;09.10.2019;17154;7;1570;16.1;15.05.2026;Havarijná oprava;;nemerané;1;701,24;V prevádzke
HYT-2266;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Hydraulický agregát lisu;FLUIDMAX;FL-FL-85F;28.04.2021;27.04.2024;6005;250;99;9.6;07.01.2026;Preventívna prehliadka;72;21/19/16;1;1327,77;Obmedzená prevádzka
HYT-2267;Teplárne Stred a.s.;Energetika;Banskobystrický;Čerpadlová jednotka;AXIOMA;AX-FL-84F;24.01.2019;23.01.2021;9134;210;65;52.0;17.02.2025;Havarijná oprava;62;22/20/17;3;1836,02;V prevádzke
HYT-2268;Metalform Považie a.s.;Strojárstvo;Trenčiansky;Hydraulický agregát lisu;FLUIDMAX;FL-PP-24G;27.08.2020;27.08.2023;14870;250;140;5.7;09.11.2024;Preventívna prehliadka;48;21/19/16;1;727,98;V prevádzke
HYT-2269;Papierne Sever a.s.;Ostatné;Žilinský;Hydraulický agregát píly;PNEUTECH;PN-CH-44A;09.10.2025;08.10.2028;1273;315;137;20.2;05.04.2026;Uvedenie do prevádzky;51;19/17/14;0;1289,73;V prevádzke
HYT-2270;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Hydraulický agregát píly;AXIOMA;AX-PP-77G;16.08.2016;16.08.2018;22474;280;30;59.5;05.10.2025;Diagnostika a meranie;61;21/19/16;3;3181,22;V prevádzke
HYT-2271;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Chladič kvapalín;AXIOMA;AX-CH-57D;20.02.2023;19.02.2025;4131;10;216;11.3;20.02.2025;Výmena filtračnej vložky;65;19/17/14;1;389,78;Obmedzená prevádzka
HYT-2272;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Filtračná stanica;PNEUTECH;PN-AT-71A;15.09.2017;14.09.2020;16335;25;143;2.8;13.01.2025;Lisovanie hadíc na mieste;38;nemerané;0;171,98;V prevádzke
HYT-2273;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Hydraulický zdvíhací stôl;FLUIDMAX;FL-CH-47E;25.02.2022;24.02.2026;7212;280;167;10.9;01.04.2025;Havarijná oprava;59;20/18/15;2;1039,82;V prevádzke
HYT-2274;Bukoza Plus a.s.;Drevospracujúci;Košický;Filtračná stanica;AXIOMA;AX-PC-67A;18.11.2025;17.11.2029;1144;10;144;7.0;05.09.2025;Preventívna prehliadka;61;19/17/14;1;558,56;V prevádzke
HYT-2275;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Hydraulický zdvíhací stôl;HYDROMET;HY-PP-44B;01.06.2022;31.05.2026;6297;160;92;50.3;21.09.2025;Diagnostika a meranie;63;21/19/16;1;885,81;V prevádzke
HYT-2276;Mobis Parts SK s.r.o.;Automotive;Žilinský;Hydraulický zdvíhací stôl;AXIOMA;AX-PP-66G;29.05.2020;29.05.2022;7665;315;162;20.8;06.03.2026;Havarijná oprava;58;18/16/13;0;459,75;V prevádzke
HYT-2277;Seating Systems a.s.;Automotive;Bratislavský;Chladič kvapalín;HYDROMET;HY-NG-92F;14.04.2017;14.04.2019;22025;16;277;10.1;24.06.2026;Havarijná oprava;81;21/19/16;2;1408,33;V prevádzke
HYT-2278;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Čerpadlová jednotka;FLUIDMAX;FL-PP-42E;29.10.2017;29.10.2019;10844;160;83;31.4;21.04.2025;Preventívna prehliadka;78;20/18/15;3;1552,11;V prevádzke
HYT-2279;Recykling SK s.r.o.;Ostatné;Košický;Generátor dusíka;FLUIDMAX;FL-GP-46G;21.09.2024;21.09.2027;2759;12;25;26.5;31.08.2026;Výmena filtračnej vložky;;16/14/11;0;536,55;V prevádzke
HYT-2280;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Filtračná stanica;FLUIDMAX;FL-GP-75D;15.11.2016;14.11.2020;23107;10;120;1.2;21.12.2024;Výmena filtračnej vložky;59;20/18/15;3;1991,18;V prevádzke
HYT-2281;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Hydraulický agregát píly;AXIOMA;AX-CH-13D;30.03.2016;30.03.2018;24101;160;26;72.4;31.08.2026;Preventívna prehliadka;53;21/19/16;1;849,68;Obmedzená prevádzka
HYT-2282;Vodohospodár Západ a.s.;Energetika;Bratislavský;Chladiaci okruh oleja;FLUIDMAX;FL-PC-70D;18.02.2025;18.02.2027;3731;6;379;32.0;06.01.2025;Havarijná oprava;66;nemerané;0;987,13;Odstavené
HYT-2283;Mobis Parts SK s.r.o.;Automotive;Žilinský;Chladiaci okruh oleja;HYDROMET;HY-PC-98A;14.07.2017;13.07.2020;10055;16;299;20.7;25.08.2025;Preventívna prehliadka;62;nemerané;1;1724,12;V prevádzke
HYT-2284;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Čerpadlová jednotka;iné / neznámy;IN-FL-27E;25.01.2019;24.01.2022;19909;280;114;59.7;25.02.2025;Havarijná oprava;49;nemerané;2;1285,35;V prevádzke
HYT-2285;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Chladiaci okruh oleja;FLUIDMAX;FL-NG-35G;19.04.2017;19.04.2019;10860;16;387;27.3;25.07.2026;Preventívna prehliadka;82;19/17/14;1;1091,07;V prevádzke
HYT-2286;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Hydraulický agregát píly;iné / neznámy;IN-AT-96G;20.09.2018;19.09.2022;17413;315;174;58.1;10.08.2026;Výmena filtračnej vložky;54;19/17/14;1;1197,89;V prevádzke
HYT-2287;Mobis Parts SK s.r.o.;Automotive;Žilinský;Pneumatický ovládací panel;FLUIDMAX;FL-FL-75D;30.12.2019;29.12.2023;6529;7;1668;3.7;04.11.2025;Havarijná oprava;;nemerané;0;755,44;V prevádzke
HYT-2288;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Hydraulický agregát lisu;AXIOMA;AX-AT-17B;03.11.2024;03.11.2027;4846;160;159;37.4;06.08.2025;Preventívna prehliadka;59;17/15/12;0;72,78;Odstavené
HYT-2289;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Chladič kvapalín;PNEUTECH;PN-NG-18B;24.08.2020;23.08.2024;9071;6;395;44.5;30.04.2026;Havarijná oprava;84;20/18/15;2;1236,27;V prevádzke
HYT-2290;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Chladič kvapalín;PNEUTECH;PN-AT-35D;02.11.2015;01.11.2017;18013;10;129;4.9;15.12.2025;Havarijná oprava;69;21/19/16;3;2343,91;Obmedzená prevádzka
HYT-2291;Papierne Sever a.s.;Ostatné;Žilinský;Hydraulický agregát lisu;FLUIDMAX;FL-FL-99C;17.12.2016;17.12.2019;12962;315;91;45.0;12.07.2025;Výmena filtračnej vložky;64;20/18/15;3;3329,36;Obmedzená prevádzka
HYT-2292;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Chladiaci okruh oleja;FLUIDMAX;FL-NG-47B;07.02.2019;06.02.2021;14315;16;104;5.6;24.09.2025;Preventívna prehliadka;70;18/16/13;0;247,25;V prevádzke
HYT-2293;Hydinárne Východ a.s.;Potravinárstvo;Prešovský;Filtračná stanica;HYDROMET;HY-PP-71F;03.10.2019;02.10.2021;10981;10;336;5.4;18.07.2026;Preventívna prehliadka;49;nemerané;1;453,06;V prevádzke
HYT-2294;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Chladiaci okruh oleja;FLUIDMAX;FL-NG-46A;03.08.2017;02.08.2020;23748;16;364;43.6;06.08.2025;Preventívna prehliadka;69;19/17/14;0;643,04;V prevádzke
HYT-2295;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Chladiaci okruh oleja;AXIOMA;AX-GP-97G;02.08.2021;02.08.2023;7552;10;125;34.3;09.09.2025;Preventívna prehliadka;35;nemerané;0;710,61;V prevádzke
HYT-2296;Mobis Parts SK s.r.o.;Automotive;Žilinský;Pneumatický ovládací panel;FLUIDMAX;FL-PC-59G;25.05.2025;24.05.2028;2425;7;1368;17.3;10.07.2025;Výmena filtračnej vložky;;20/18/15;1;1295,56;V prevádzke
HYT-2297;Teplárne Stred a.s.;Energetika;Banskobystrický;Hydraulický agregát lisu;AXIOMA;AX-AT-69F;11.06.2019;10.06.2023;12434;160;159;19.8;12.05.2025;Uvedenie do prevádzky;52;17/15/12;0;0,00;V prevádzke
HYT-2298;Recykling SK s.r.o.;Ostatné;Košický;Čerpadlová jednotka;HYDROMET;HY-CH-55G;20.03.2016;20.03.2019;22534;160;101;74.6;06.09.2025;Preventívna prehliadka;49;nemerané;0;356,37;Odstavené
HYT-2299;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Hydraulický zdvíhací stôl;FLUIDMAX;FL-PC-13C;09.06.2018;08.06.2020;20270;315;95;59.9;24.04.2026;Preventívna prehliadka;77;nemerané;1;2072,41;V prevádzke
HYT-2300;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Hydraulický agregát píly;AXIOMA;AX-PC-24B;20.02.2018;19.02.2021;10427;210;68;5.5;10.05.2026;Havarijná oprava;71;22/20/17;2;2573,66;Obmedzená prevádzka
